year,conv_25p4mm,skill_29mm,meshwitt_35p6mm,mesh75_41p9mm,sig_50p8mm,mesh95_63p3mm
1998,250,243,222,206,163,68
1999,337,321,284,235,184,81
2000,346,332,282,239,181,68
2001,352,341,292,244,183,92
2002,360,353,317,274,224,137
2003,359,347,314,271,216,131
2004,365,361,343,308,262,147
2005,363,361,320,282,227,109
2006,364,361,342,311,270,188
2007,365,364,341,307,267,188
2008,366,365,352,332,262,153
2009,362,360,342,309,235,138
2010,363,358,321,264,192,85
2011,364,362,339,292,212,101
2012,366,366,356,310,240,157
2013,365,365,342,285,192,81
2014,365,365,341,291,204,90
2015,364,364,346,301,212,96
2016,366,365,355,306,219,104
2017,365,363,344,289,218,88
2018,178,177,171,166,133,71
2019,174,174,171,168,148,85
2020,249,249,244,223,183,95
2021,365,364,355,333,301,182
2022,365,365,356,340,293,181
2023,365,365,365,349,298,170
2024,366,366,366,363,309,194
2025,365,365,365,358,312,188
2026,155,155,155,154,136,64
